country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,code
United States,231.3,233.9,234.6,230.1,210,216.7,229.1,236.3,224.9,200.4,190.2,USA
Canada,102.1,102,106.4,131.4,151.2,157.7,163.1,171.2,188.9,182.9,170.6,CAN
Mexico,78.7,94.4,107.5,107.1,113.3,131.1,130.7,119.6,118.4,109,101.6,MEX
Peru,184.8,183.8,189.8,182.4,171.1,170.5,166,166.6,162.6,143.3,97.8,PER
Brazil,71.5,77.7,80.2,89.3,90.4,95.4,95.9,95.4,96.7,100.4,107,BRA
Argentina,63.9,59,54.2,49.7,60,63.9,58,61.4,58.3,52.5,36.7,ARG
Colombia,43.6,45.9,56.2,46,47.9,49.6,53.2,53.2,43.9,45.5,53.6,COL
Chile,39.5,45.1,49.9,51.3,46,42.5,40.7,35.8,36.5,37.8,32.1,CHL
Dominican Republic,0.1,0.5,4.2,26.6,36.2,31.2,38,35.3,31.7,31.8,28.3,DOM
Venezuela,24.9,25.5,21,22.8,22.7,22.6,23,23,26,27.8,33.4,VEN
Suriname,20.4,20.1,20,18.5,18.4,17.4,21.2,34.1,34.3,32.8,29.8,SUR
Guyana,11.9,13.9,15.6,18.4,17.3,18.2,23,22.3,19.2,19.7,18.2,GUY
Ecuador,15.2,15.6,16,15.9,15.3,14.2,12.2,11.5,11.5,11.4,13.5,ECU
Nicaragua,5.5,6.8,7.5,8.9,8.8,8.2,8.4,7.4,7.7,9,8.9,NIC
Finland,5.8,6.6,9.1,8.5,7.6,8.2,8.6,8.8,8.3,7.7,8.7,FIN
Sweden,6.2,5.9,6.1,6.4,6.5,6.3,6.5,7.8,7.9,8.1,8.2,SWE
South Africa,210,205.3,179.8,179.5,168.6,162,162.6,154,128,111.3,99.2,ZAF
Ghana,94.3,96.8,106,105.8,106.3,95.4,131.4,133.3,149.1,142.4,138.7,GHA
Tanzania,47.5,54.4,56.3,52,51.8,53.2,55.3,54.6,46.3,46.5,45.9,TZA
Mali,42.7,42.6,47.6,55.9,60.4,71.4,82.1,73.9,88.3,96.8,93.8,MLI
DR Congo,18,21,24.8,25.3,35.4,41.2,42.5,47,63,62.9,60.9,COD
Burkina Faso,44.9,59.7,56.9,61.6,62.2,54.6,56.9,74.6,78,83.1,93.4,BFA
Sudan,29.3,32.6,33.9,57.6,60.9,67.8,77.5,88,76.6,78,83.8,SDN
Zimbabwe,17.1,19,22.7,23,24.3,25.5,27.6,34.5,51.9,44.4,40.9,ZWE
Guinea,25.8,25.7,24.3,25.4,32.1,41,45.6,46.8,50.8,57.6,56.9,GIN
Ivory Coast,7.8,13.2,13,14.5,19.4,22.2,23.6,25.7,24.1,32.5,36.4,CIV
Egypt,4.7,6.3,8.2,11.1,11.7,13.7,17.1,16.9,14.7,14.9,14.1,EGY
Ethiopia,8.1,10.2,11.3,11.4,12,12.6,11.2,11,10,10.5,10,ETH
Mauritania,9,8.8,8.2,9.9,10,9.1,8.1,10.1,10.7,15.1,15.6,MRT
Senegal,5.4,4.8,7.4,8.2,8.6,8.7,10.2,11.6,16.5,17.3,15.8,SEN
Namibia,3.3,2.7,2.9,3.5,3.7,7.9,9.1,9.8,9,8.9,8.8,NAM
Russia,203.1,211.6,233.4,248.5,252.7,255.3,262.4,280.7,295.4,329.5,331.1,RUS
Uzbekistan,69,68.1,77,78,79.5,79,90,90,92,94.6,101.6,UZB
Kazakhstan,29.9,35.6,37.3,40.7,42.6,52,58.7,67.2,73.9,74.6,78.4,KAZ
Kyrgyzstan,19,19.7,11.3,20.2,19.3,18.7,21.2,21,21.9,26,24.3,KGZ
China,351.1,371.2,413.3,438.4,462,460.3,463.7,429.1,404.1,383.2,368.3,CHN
Indonesia,132.3,110.2,82.6,90,93.5,115.1,118.4,117.6,153,92.3,100.9,IDN
Philippines,40.8,38.1,30.8,29.2,28.4,30.6,36.7,44.7,42.8,34.6,25.4,PHL
Mongolia,14,13.3,14.2,19.7,32,32.8,21.3,22.5,22.6,16.3,20.2,MNG
Turkey,16.6,24.1,29.5,33.5,31.2,28.2,24.4,24.7,22.9,37,42,TUR
Iran,5,6,6,7,10,11,11,11,11,11,10.5,IRN
Australia,256.7,258.7,250.4,267.1,274,279.2,287.7,292.5,313,325.1,327.8,AUS
Papua New Guinea,69.7,63.8,59,64.6,58.4,60.9,62.9,63,67.1,71.1,53.1,PNG
New Zealand,12.1,11.2,9.7,11.8,10.8,11.7,9.6,9,9.3,7.8,5.5,NZL
